label,text
1,[ 花心 ] [ 鼓掌 ] / / @ 小 懒猫 Melody2011 :   [ 春暖花开 ]
0,今年 赶上 沙尘暴 没 ？ 我 离开 的 那天 ， 不能 呼吸 ， 我能 拍照 ， 不敢 说话 ， 黑城 在 风沙 中 被 淹没 [ 衰 ]   / / @ 贝姨 : 醉美 胡杨林 ， 今年 也 去 了 ， 很 美 ~     / / @ 中国 摄影师 联盟 : # 参展 作品 # 【 第五届 微 摄影展 赛   ?   金秋 时节   】 《 胡杨林 》 摄影 ： 北京 - 橙色 咖啡 （ 女 ） 北京
1,美 ~ ~ ~ ~ ~ [ 爱 你 ]
0,是 【 后 37 集 】 ， 也 就是 【 4 - 40 集 】 的 公式 ， 不是 【 第 37 集 】 啊 华罗庚 们 ！ # 我们 文科生 的 表述 真的 弱 爆 了 # [ 泪 ]   / / @ 六小岩 :   勾股定理 ， arcsin （ 3 ÷ 5 ） ＝ 37 ° 我 觉得 财神爷 就是 这么 想 的 。 。 [ 嘻嘻 ]
0,边 间 公司 感 X 爱国 啊 ！ ！ ！ / / @ ray 周 :   爱国 表演 收工   / / @ 大 魔王 萨莉莱 : [ 怒 ] [ 怒 ] [ 怒 ]   / / @ 婆 Paul :   边 间 公关 公司 组织 到 甘多人 啊 ？ / / @ xi _ 蚊 _ fat :   [ 懒得 理 你 ] 都 话 嘎啦 。 。 。 无钱 鬼 同 你 系街 到 行 咩 ~ ~
0,[ 蜡烛 ]   / / @ yangfan : [ 蜡烛 ]   / / @ 谭 红梅 1127 :   [ 蜡烛 ] / / @ 发光 的 大 金子 :   [ 蜡烛 ] / / @ qiaotengfei :   [ 蜡烛 ] / / @ 司徒 南 : [ 蜡烛 ] / / @ sina 坊间 八卦 :   据 最新 线报 ， 保安 张师傅 昨天下午 去世 了 [ 泪 ] [ 蜡烛 ]
1,姑娘 都 羡慕 你 呢 … 还有 招财猫 高兴 … … / / @ 爱 在 蔓延 - JC : [ 哈哈 ] 小 学徒 一枚 ， 等 着 明天 见 您 呢 / / @ 李欣芸 SharonLee : 大佬 范儿 [ 书呆子 ]
1,【 霍思燕 剖腹产 下 “ 小江江 ”   老公 落泪 】 今晨 9 时 霍思燕 产下 一名 男婴 ， 宝宝 重 8 斤 3 两 ， 母子 平安 。 杜江 的 脸上 洋溢着 做 爸爸 的 欣喜 ： 宝宝 小 名叫 “ 小江江 ” ， 眼睛 像 他 ， 鼻子 和 嘴巴 则 像 霍思燕 ， 看到 宝贝 就 忍不住 落泪 ！ 恭喜 @ 杜江 侦察 记   @ 霍思燕   ， 祝福 “ 小江江 ” 在 爱里 健康 地 成长 [ 爱 你 ] ... http : / / t . cn / z8EwSPU
0,[ 泪 ] 我 是 小 清新   / / @ Yihwei _ Towne : 以撒大 的 性格 放 卫生纸 应该 差不多 。
1,梦想 有 多 大 ， 舞台 就 有 多 大 ! [ 鼓掌 ]
0,这是 带头 要 让 人民币 升值 啊 ！   / / @ 互联网 的 那点 事 : 充值 面额 目前 支持   50 元 ， 100 元 ， 300 元   和   500 元   ！   关于 定价   $ 0.99   的 应用 ， 中国区 定价   ?   6   元 。   $ 1.99   的 应用 ， 中国区 定价   ?   12   元 。   [ 泪 ]
1,吃货 们 无不 啧啧称奇 ， 好 不 喜欢 ！ PS : 写错 一个 字 ！ [ 哈哈 ] @ 森林 小天使 - 波琪   @ SEVEN 厦门 摄影师   @ 日月星辰 - 心在 路上   @ 每种 型号 生 两胎   @ 志远 天下 行   @ 监控 防盗 安装 XM   @ 创意 美食 simon 哥   @ 漫游者 - 强子   @ 陈小 kitty 猫 @ 游子 的 歌 @ solo 在 厦门
0,﻿ 哈哈   / / @ Carrie 高洁 :   哈哈哈哈 ， 太 罪恶 了 啊 ！ 以后 叫外卖 回家 捞 吧 ！ 不过 ... 某人 今天 和 你 一样 [ 泪 ] ！ @ flame _ 张宏涛
0,邻居 妈妈 有 两个 孩子 ， 男 宝宝 好像 是 四岁 了 ， 经常 喜欢 在 他 妈妈 开门 的 时候 学着 样子 来 敲 我家 的 门 ， 好 几次 都 被 吓一跳 ， 隔 着 门会 听到 他 妈妈 不厌其烦 地说 ＂ 宝宝 这 不是 我们 家 的 门 你 再 敲 就 会 有 大灰狼 出来 吃 你 ！ ＂ ， 结果 今天 回家 早 在 楼道 碰到 了 男 宝宝 盯 着 我 跟 他妹 小声 说 了 句 ＂ 大灰狼 变 的 .. ＂ 我 瞬间 石化 [ 泪 ] [ 泪 ]
1,某 问答 社区 上 收到 一 大学生 发给 我 的 私信 ： “ 偶 喜欢 阿姨 ！ 偶是 阿姨 控 ！ ” 我 回 他 ： “ 阿姨 稀饭 小盆友 ！ 偶是 小盆友控 ！ ”   [ 哈哈 ]
